Keys,"Українська [ua-UA]"
EVENT_ROAD_CAMPAIGN_66_INTRO,"Банда Іноксів, що наближається, піднімає купу пилу. Хмара просто величезна, а сховатися ніде.<br><br>- Гей ви, міські покидьки! - вигукує один з Іноксів у перших рядах, коли ви підходите ближче. - Ми йдемо на ваше місто і збираємося стерти його з лиця землі. Що ви на це скажете?<br><br>Перша думка, що спадає вам на думку, поки ви готуєтеся до бою. - що їм знадобиться більша армія. Але перш ніж ви встигаєте напасти, небо темніє. Подумавши, що його просто затягнуло хмарами, ви піднімаєте погляд і бачите, як на вас з висоти пікірує величезний дрейк."
EVENT_ROAD_CAMPAIGN_66_OPTION_A,"Кинутися в укриття."
EVENT_ROAD_CAMPAIGN_66_OPTION_B,"Напасти на Іноксів."
EVENT_ROAD_CAMPAIGN_66_RESULT_A,"Ви ледве встигаєте пірнути в канаву і прикрити голови, як дрейк-патріарх пікірує на загін, випльовуючи величезний згусток полум'я в саму гущу. Ті, кого не спопелило на місці, кричать і в жаху біжать. Дрейк приземляється просто перед вами.<br><br>- Безстрашні шукачі пригод! Сподіваюся, що зумів допомогти вам проти ваших кривдників. Мені, правда, було нескладно, після всього, що ви для мене зробили. Вважаю, що серед трупів ви знайдете чимало цінностей. Це мій дар вам."
EVENT_ROAD_CAMPAIGN_66_RESULT_B,"Поки Інокси відволіклися на гігантську істоту над вами, ви нападаєте на їхній чималий загін. Однак, коли дрейк починає плюватися вогнем у бійців, стає зовсім спекотно. Інокси в жаху розбігаються, а ось вас сильно обпекло. Тут перед вами приземляється дрейк-патріарх<br><br>- Мої вибачення. Я всього лише намагався допомогти."
EVENT_ROAD_CAMPAIGN_67_INTRO,"На тракті неподалік від Похмурої гавані ви натикаєтеся на віз торговця, що прямує до міста.<br><br>- Ух, а я вже було злякався, що ви розбійники, - каже він. - Але тепер я бачу, що ви найманці з міста, чи не так? Це чудово! Я чув багато хорошого про найманців Похмурої гавані. Дивлячись на цю глушину, у це складно повірити, але чутки не брешуть же, правда?"
EVENT_ROAD_CAMPAIGN_67_OPTION_A,"Запропонувати супроводити торговця в Похмуру гавань."
EVENT_ROAD_CAMPAIGN_67_OPTION_B,"Вказати торговцю на брак доброчесності цих місць, пограбувавши його."
EVENT_ROAD_CAMPAIGN_67_RESULT_A,"- Мм, ну... ні, я не хочу бути тягарем. Тобто так, я, звісно, не можу вам заплатити, але буду дуже радий компанії. Східний тракт - небезпечне місце для самотніх подорожніх.<br><br>Ви досить швидко добираєтеся до міста, і торговець дуже вам вдячний.<br><br>- Треба сказати, панове, я вражений. Будьте впевнені, у Столиці я всім розповім, що в Похмурій гавані можна спокійно вести справи."
EVENT_ROAD_CAMPAIGN_67_RESULT_B,"Ну, я просто... я маю на увазі, я ніколи..."", — купець замовкає, не вірячи своїм вухам. ""Думати, що в світі ще існують місця, де панує така дикість. Це просто неймовірно.<br><br>""Я розповім усім у Столиці, яке це жахливе, відстале місце..."" Кров піднімається до його рота, коли ви перерізаєте йому горло, що дуже ускладнює йому можливість продовжувати скаржитися."
