Keys,Ukrainian [uk-UA]
002_T,"Отримуйте <sprite name=XP1> щоразу, коли здійснюєте ВІДПЛАТУ <nobr>цього раунду.</nobr>"
004_B,"Будь-який ворог, який обирає ціллю атаки вашого сусіднього союзника цього раунду, натомість обирає ціллю вас, незалежно від дальності атаки."
007_B,"Для наступних шести джерел шкоди від атак, спрямованих на вас, отримуйте <nobr>ЩИТ <sprite name=Shield> *BShield*.</nobr>"
013_B,"Додайте <nobr>+1 до АТАКИ <sprite name=Attack></nobr> для всіх ваших атак цього раунду."
015_B,"Для наступних трьох джерел шкоди по вас, натомість не зазнавайте шкоди."
016_B,"Якщо рух здійснювався по прямій лінії, виконайте"
022_T,"Убийте одного сусіднього звичайного ворога <nobr>під дією ОГЛУШЕННЯ <sprite name=Stun></nobr>."
023_B,"Ви можете вважати всі здібності <nobr>РУХУ <sprite name=Move></nobr> здібностями <nobr>АТАКИ <sprite name=Attack></nobr> тієї ж сили."
026_B,"Додайте +3 до <nobr>АТАКИ <sprite name=Attack></nobr> для всіх ваших атак, спрямованих на ворогів із <nobr>РОЗЗБРОЄННЯМ <sprite name=Disarm></nobr>, <nobr>ПАРАЛІЧЕМ <sprite name=Immobilize></nobr> або <nobr>ОГЛУШЕННЯМ <sprite name=Stun></nobr> цього раунду."
030_T_1,"Створіть одну пастку на 6 шкоди в сусідньому порожньому гексі."
030_T_2,"Отримайте <sprite name=XP2>, коли ворог активує цю пастку."
031_T,"Прикличте Приманку"
037_B,"Один сусідній союзник може <nobr>ВІДНОВИТИ <sprite name=Recover></nobr> всі свої скинуті карти."
040_B,"Ви та всі сусідні союзники додаєте <nobr>+1 до АТАКИ <sprite name=Attack></nobr> для всіх ваших атак цього раунду."
043_B_1,"Один союзник у межах <nobr>ДАЛЬНОСТІ <sprite name=Range> 2</nobr> може <nobr>ВІДНОВИТИ <sprite name=Recover></nobr> одну зі своїх скинутих карт."
043_B_2,"Натомість до двох скинутих карт."
043_T,"Створіть одну пастку з ОТРУЄННЯМ <sprite name=Poison> на 2 шкоди в сусідньому порожньому гексі."
044_T,"Для ваших наступних чотирьох дій Лікування додайте <nobr>+2 до ЛІКУВАННЯ <sprite name=Heal></nobr>."
045_B,"Один союзник у межах <nobr>ДАЛЬНОСТІ <sprite name=Range> 3</nobr> може <nobr>ВІДНОВИТИ <sprite name=Recover></nobr> одну зі своїх втрачених карт."
047_B,"Створіть одну пастку з ОГЛУШЕННЯМ <sprite name=Stun> у сусідньому порожньому гексі."
049_T,"Прикличте Бойового Бота"
051_T,"Один сусідній союзник може <nobr>ОНОВИТИ <sprite name=Refresh></nobr> один зі своїх використаних малих предметів <sprite name=InvSmallItem>."
052_T_1,"Убийте всіх ворогів у цільовій зоні, чиє поточне значення здоров'я дорівнює або <nobr>менше ніж 5</nobr>."
052_T_2,"Отримуйте <sprite name=XP1> за кожного вбитого ворога."
053_B,"Наприкінці ваших наступних чотирьох ходів один союзник у межах <nobr>ДАЛЬНОСТІ <sprite name=Range> 3</nobr> може <nobr>ВІДНОВИТИ <sprite name=Recover></nobr> одну зі своїх скинутих карт."
053_T,"Створіть одну пастку з ДЕЗОРІЄНТАЦІЄЮ <sprite name=Muddle> на 4 шкоди в сусідньому порожньому гексі."
054_T,"Наприкінці ваших наступних п'яти ходів виконайте дію <nobr>«АТАКА <sprite name=Attack> 2,</nobr> <nobr>ДАЛЬНІСТЬ <sprite name=Range> 5»</nobr>."
055_T,"Прикличте Бота-Вбивцю"
057_T,"Усі прикликані союзники в межах <nobr>ДАЛЬНОСТІ <sprite name=Range> 3</nobr> <nobr>можуть виконати</nobr>"
058_B_1,"Усі сусідні союзники додають <nobr>+2 до АТАКИ <sprite name=Attack></nobr> для всіх своїх атак цього раунду."
058_B_2,"Усі сусідні союзники зазнають 2 шкоди."
058_T,"Зазнайте 2 шкоди."
060_B,"Один союзник у межах <nobr>ДАЛЬНОСТІ <sprite name=Range> 3</nobr> може вибрати будь-каку неекіпіровану карту свого класу (до свого поточного рівня включно) та додати її до своєї руки. Цей ефект діє до кінця Сценарію."
060_T,"Один сусідній союзник може <nobr>ВІДНОВИТИ <sprite name=Recover></nobr> до двох своїх втрачених карт, після чого втрачає дві карти."
062_T,"Крім того, виберіть ціллю всіх ворогів <nobr>на шляху</nobr> до основної цілі."
063_T,"<nobr>ВІДНОВІТЬ <sprite name=Recover></nobr> всі свої <nobr>втрачені карти.</nobr>"
066_B,"Для наступних двох джерел шкоди по вас, натомість <nobr>не зазнавайте шкоди.</nobr>"
069_T_1,"Для ваших наступних чотирьох атак <nobr>додайте +*TActive* до АТАКИ <sprite name=Attack>.</nobr>"
069_T_1_Alt,"Для ваших наступних чотирьох атак <nobr>додайте +2 до АТАКИ <sprite name=Attack>.</nobr>"
069_T_2,"Натомість додайте +2 до АТАКИ <sprite name=Attack>."
071_T,"Прикличте Містичного Союзника"
076_B_1,"де X — половина максимального значення здоров'я цього союзника <nobr>(округлена в меншу сторону).</nobr>"
076_B_2,"Натомість X — максимальне значення здоров'я цього союзника."
079_B,"Для наступних п'яти ближніх атак, спрямованих на вас, отримуйте <nobr>ВІДПЛАТУ <sprite name=Retaliate> *BRetaliate*.</nobr>"
080_B,"Прикличте Палаючого Аватара"
080_T,"Усі вороги, сусідні з <nobr>ціллю, зазнають 2 шкоди, <sprite name=XP1>.</nobr>"
082_T,"ВІДНОВІТЬ <sprite name=Recover> до двох своїх <nobr>втрачених карт.</nobr>"
084_T_1,"Натомість ЗДОБИЧ <sprite name=Loot> 3, <sprite name=XP1>"
084_T_2,"Ви не можете здобути більше ніж чотири стоси золота або жетони скарбів цією дією."
